state_name,state_fips,county_name,county_fips,county_geoid,county_name_clean
Alabama,01,Autauga County,001,01001,Autauga
Alabama,01,Baldwin County,003,01003,Baldwin
Alabama,01,Barbour County,005,01005,Barbour
Alabama,01,Bibb County,007,01007,Bibb
Alabama,01,Blount County,009,01009,Blount
Alabama,01,Bullock County,011,01011,Bullock
Alabama,01,Butler County,013,01013,Butler
Alabama,01,Calhoun County,015,01015,Calhoun
Alabama,01,Chambers County,017,01017,Chambers
Alabama,01,Cherokee County,019,01019,Cherokee
Alabama,01,Chilton County,021,01021,Chilton
Alabama,01,Choctaw County,023,01023,Choctaw
Alabama,01,Clarke County,025,01025,Clarke
Alabama,01,Clay County,027,01027,Clay
Alabama,01,Cleburne County,029,01029,Cleburne
Alabama,01,Coffee County,031,01031,Coffee
Alabama,01,Colbert County,033,01033,Colbert
Alabama,01,Conecuh County,035,01035,Conecuh
Alabama,01,Coosa County,037,01037,Coosa
Alabama,01,Covington County,039,01039,Covington
Alabama,01,Crenshaw County,041,01041,Crenshaw
Alabama,01,Cullman County,043,01043,Cullman
Alabama,01,Dale County,045,01045,Dale
Alabama,01,Dallas County,047,01047,Dallas
Alabama,01,DeKalb County,049,01049,DeKalb
Alabama,01,Elmore County,051,01051,Elmore
Alabama,01,Escambia County,053,01053,Escambia
Alabama,01,Etowah County,055,01055,Etowah
Alabama,01,Fayette County,057,01057,Fayette
Alabama,01,Franklin County,059,01059,Franklin
Alabama,01,Geneva County,061,01061,Geneva
Alabama,01,Greene County,063,01063,Greene
Alabama,01,Hale County,065,01065,Hale
Alabama,01,Henry County,067,01067,Henry
Alabama,01,Houston County,069,01069,Houston
Alabama,01,Jackson County,071,01071,Jackson
Alabama,01,Jefferson County,073,01073,Jefferson
Alabama,01,Lamar County,075,01075,Lamar
Alabama,01,Lauderdale County,077,01077,Lauderdale
Alabama,01,Lawrence County,079,01079,Lawrence
Alabama,01,Lee County,081,01081,Lee
Alabama,01,Limestone County,083,01083,Limestone
Alabama,01,Lowndes County,085,01085,Lowndes
Alabama,01,Macon County,087,01087,Macon
Alabama,01,Madison County,089,01089,Madison
Alabama,01,Marengo County,091,01091,Marengo
Alabama,01,Marion County,093,01093,Marion
Alabama,01,Marshall County,095,01095,Marshall
Alabama,01,Mobile County,097,01097,Mobile
Alabama,01,Monroe County,099,01099,Monroe
Alabama,01,Montgomery County,101,01101,Montgomery
Alabama,01,Morgan County,103,01103,Morgan
Alabama,01,Perry County,105,01105,Perry
Alabama,01,Pickens County,107,01107,Pickens
Alabama,01,Pike County,109,01109,Pike
Alabama,01,Randolph County,111,01111,Randolph
Alabama,01,Russell County,113,01113,Russell
Alabama,01,St. Clair County,115,01115,St. Clair
Alabama,01,Shelby County,117,01117,Shelby
Alabama,01,Sumter County,119,01119,Sumter
Alabama,01,Talladega County,121,01121,Talladega
Alabama,01,Tallapoosa County,123,01123,Tallapoosa
Alabama,01,Tuscaloosa County,125,01125,Tuscaloosa
Alabama,01,Walker County,127,01127,Walker
Alabama,01,Washington County,129,01129,Washington
Alabama,01,Wilcox County,131,01131,Wilcox
Alabama,01,Winston County,133,01133,Winston
Alaska,02,Aleutians East Borough,013,02013,Aleutians East
Alaska,02,Aleutians West Census Area,016,02016,Aleutians West
Alaska,02,Anchorage Municipality,020,02020,Anchorage
Alaska,02,Bethel Census Area,050,02050,Bethel
Alaska,02,Bristol Bay Borough,060,02060,Bristol Bay
Alaska,02,Chugach Census Area,063,02063,Chugach
Alaska,02,Copper River Census Area,066,02066,Copper River
Alaska,02,Denali Borough,068,02068,Denali
Alaska,02,Dillingham Census Area,070,02070,Dillingham
Alaska,02,Fairbanks North Star Borough,090,02090,Fairbanks North Star
Alaska,02,Haines Borough,100,02100,Haines
Alaska,02,Hoonah-Angoon Census Area,105,02105,Hoonah-Angoon
Alaska,02,Juneau City and Borough,110,02110,Juneau and
Alaska,02,Kenai Peninsula Borough,122,02122,Kenai Peninsula
Alaska,02,Ketchikan Gateway Borough,130,02130,Ketchikan Gateway
Alaska,02,Kodiak Island Borough,150,02150,Kodiak Island
Alaska,02,Kusilvak Census Area,158,02158,Kusilvak
Alaska,02,Lake and Peninsula Borough,164,02164,Lake and Peninsula
Alaska,02,Matanuska-Susitna Borough,170,02170,Matanuska-Susitna
Alaska,02,Nome Census Area,180,02180,Nome
Alaska,02,North Slope Borough,185,02185,North Slope
Alaska,02,Northwest Arctic Borough,188,02188,Northwest Arctic
Alaska,02,Petersburg Borough,195,02195,Petersburg
Alaska,02,Prince of Wales-Hyder Census Area,198,02198,Prince of Wales-Hyder
Alaska,02,Sitka City and Borough,220,02220,Sitka and
Alaska,02,Skagway Municipality,230,02230,Skagway
Alaska,02,Southeast Fairbanks Census Area,240,02240,Southeast Fairbanks
Alaska,02,Wrangell City and Borough,275,02275,Wrangell and
Alaska,02,Yakutat City and Borough,282,02282,Yakutat and
Alaska,02,Yukon-Koyukuk Census Area,290,02290,Yukon-Koyukuk
Arizona,04,Apache County,001,04001,Apache
Arizona,04,Cochise County,003,04003,Cochise
Arizona,04,Coconino County,005,04005,Coconino
Arizona,04,Gila County,007,04007,Gila
Arizona,04,Graham County,009,04009,Graham
Arizona,04,Greenlee County,011,04011,Greenlee
Arizona,04,La Paz County,012,04012,La Paz
Arizona,04,Maricopa County,013,04013,Maricopa
Arizona,04,Mohave County,015,04015,Mohave
Arizona,04,Navajo County,017,04017,Navajo
Arizona,04,Pima County,019,04019,Pima
Arizona,04,Pinal County,021,04021,Pinal
Arizona,04,Santa Cruz County,023,04023,Santa Cruz
Arizona,04,Yavapai County,025,04025,Yavapai
Arizona,04,Yuma County,027,04027,Yuma
Arkansas,05,Arkansas County,001,05001,Arkansas
Arkansas,05,Ashley County,003,05003,Ashley
Arkansas,05,Baxter County,005,05005,Baxter
Arkansas,05,Benton County,007,05007,Benton
Arkansas,05,Boone County,009,05009,Boone
Arkansas,05,Bradley County,011,05011,Bradley
Arkansas,05,Calhoun County,013,05013,Calhoun
Arkansas,05,Carroll County,015,05015,Carroll
Arkansas,05,Chicot County,017,05017,Chicot
Arkansas,05,Clark County,019,05019,Clark
Arkansas,05,Clay County,021,05021,Clay
Arkansas,05,Cleburne County,023,05023,Cleburne
Arkansas,05,Cleveland County,025,05025,Cleveland
Arkansas,05,Columbia County,027,05027,Columbia
Arkansas,05,Conway County,029,05029,Conway
Arkansas,05,Craighead County,031,05031,Craighead
Arkansas,05,Crawford County,033,05033,Crawford
Arkansas,05,Crittenden County,035,05035,Crittenden
Arkansas,05,Cross County,037,05037,Cross
Arkansas,05,Dallas County,039,05039,Dallas
Arkansas,05,Desha County,041,05041,Desha
Arkansas,05,Drew County,043,05043,Drew
Arkansas,05,Faulkner County,045,05045,Faulkner
Arkansas,05,Franklin County,047,05047,Franklin
Arkansas,05,Fulton County,049,05049,Fulton
Arkansas,05,Garland County,051,05051,Garland
Arkansas,05,Grant County,053,05053,Grant
Arkansas,05,Greene County,055,05055,Greene
Arkansas,05,Hempstead County,057,05057,Hempstead
Arkansas,05,Hot Spring County,059,05059,Hot Spring
Arkansas,05,Howard County,061,05061,Howard
Arkansas,05,Independence County,063,05063,Independence
Arkansas,05,Izard County,065,05065,Izard
Arkansas,05,Jackson County,067,05067,Jackson
Arkansas,05,Jefferson County,069,05069,Jefferson
Arkansas,05,Johnson County,071,05071,Johnson
Arkansas,05,Lafayette County,073,05073,Lafayette
Arkansas,05,Lawrence County,075,05075,Lawrence
Arkansas,05,Lee County,077,05077,Lee
Arkansas,05,Lincoln County,079,05079,Lincoln
Arkansas,05,Little River County,081,05081,Little River
Arkansas,05,Logan County,083,05083,Logan
Arkansas,05,Lonoke County,085,05085,Lonoke
Arkansas,05,Madison County,087,05087,Madison
Arkansas,05,Marion County,089,05089,Marion
Arkansas,05,Miller County,091,05091,Miller
Arkansas,05,Mississippi County,093,05093,Mississippi
Arkansas,05,Monroe County,095,05095,Monroe
Arkansas,05,Montgomery County,097,05097,Montgomery
Arkansas,05,Nevada County,099,05099,Nevada
Arkansas,05,Newton County,101,05101,Newton
Arkansas,05,Ouachita County,103,05103,Ouachita
Arkansas,05,Perry County,105,05105,Perry
Arkansas,05,Phillips County,107,05107,Phillips
Arkansas,05,Pike County,109,05109,Pike
Arkansas,05,Poinsett County,111,05111,Poinsett
Arkansas,05,Polk County,113,05113,Polk
Arkansas,05,Pope County,115,05115,Pope
Arkansas,05,Prairie County,117,05117,Prairie
Arkansas,05,Pulaski County,119,05119,Pulaski
Arkansas,05,Randolph County,121,05121,Randolph
Arkansas,05,St. Francis County,123,05123,St. Francis
Arkansas,05,Saline County,125,05125,Saline
Arkansas,05,Scott County,127,05127,Scott
Arkansas,05,Searcy County,129,05129,Searcy
Arkansas,05,Sebastian County,131,05131,Sebastian
Arkansas,05,Sevier County,133,05133,Sevier
Arkansas,05,Sharp County,135,05135,Sharp
Arkansas,05,Stone County,137,05137,Stone
Arkansas,05,Union County,139,05139,Union
Arkansas,05,Van Buren County,141,05141,Van Buren
Arkansas,05,Washington County,143,05143,Washington
Arkansas,05,White County,145,05145,White
Arkansas,05,Woodruff County,147,05147,Woodruff
Arkansas,05,Yell County,149,05149,Yell
California,06,Alameda County,001,06001,Alameda
California,06,Alpine County,003,06003,Alpine
California,06,Amador County,005,06005,Amador
California,06,Butte County,007,06007,Butte
California,06,Calaveras County,009,06009,Calaveras
California,06,Colusa County,011,06011,Colusa
California,06,Contra Costa County,013,06013,Contra Costa
California,06,Del Norte County,015,06015,Del Norte
California,06,El Dorado County,017,06017,El Dorado
California,06,Fresno County,019,06019,Fresno
California,06,Glenn County,021,06021,Glenn
California,06,Humboldt County,023,06023,Humboldt
California,06,Imperial County,025,06025,Imperial
California,06,Inyo County,027,06027,Inyo
California,06,Kern County,029,06029,Kern
California,06,Kings County,031,06031,Kings
California,06,Lake County,033,06033,Lake
California,06,Lassen County,035,06035,Lassen
California,06,Los Angeles County,037,06037,Los Angeles
California,06,Madera County,039,06039,Madera
California,06,Marin County,041,06041,Marin
California,06,Mariposa County,043,06043,Mariposa
California,06,Mendocino County,045,06045,Mendocino
California,06,Merced County,047,06047,Merced
California,06,Modoc County,049,06049,Modoc
California,06,Mono County,051,06051,Mono
California,06,Monterey County,053,06053,Monterey
California,06,Napa County,055,06055,Napa
California,06,Nevada County,057,06057,Nevada
California,06,Orange County,059,06059,Orange
California,06,Placer County,061,06061,Placer
California,06,Plumas County,063,06063,Plumas
California,06,Riverside County,065,06065,Riverside
California,06,Sacramento County,067,06067,Sacramento
California,06,San Benito County,069,06069,San Benito
California,06,San Bernardino County,071,06071,San Bernardino
California,06,San Diego County,073,06073,San Diego
California,06,San Francisco County,075,06075,San Francisco
California,06,San Joaquin County,077,06077,San Joaquin
California,06,San Luis Obispo County,079,06079,San Luis Obispo
California,06,San Mateo County,081,06081,San Mateo
California,06,Santa Barbara County,083,06083,Santa Barbara
California,06,Santa Clara County,085,06085,Santa Clara
California,06,Santa Cruz County,087,06087,Santa Cruz
California,06,Shasta County,089,06089,Shasta
California,06,Sierra County,091,06091,Sierra
California,06,Siskiyou County,093,06093,Siskiyou
California,06,Solano County,095,06095,Solano
California,06,Sonoma County,097,06097,Sonoma
California,06,Stanislaus County,099,06099,Stanislaus
California,06,Sutter County,101,06101,Sutter
California,06,Tehama County,103,06103,Tehama
California,06,Trinity County,105,06105,Trinity
California,06,Tulare County,107,06107,Tulare
California,06,Tuolumne County,109,06109,Tuolumne
California,06,Ventura County,111,06111,Ventura
California,06,Yolo County,113,06113,Yolo
California,06,Yuba County,115,06115,Yuba
Colorado,08,Adams County,001,08001,Adams
Colorado,08,Alamosa County,003,08003,Alamosa
Colorado,08,Arapahoe County,005,08005,Arapahoe
Colorado,08,Archuleta County,007,08007,Archuleta
Colorado,08,Baca County,009,08009,Baca
Colorado,08,Bent County,011,08011,Bent
Colorado,08,Boulder County,013,08013,Boulder
Colorado,08,Broomfield County,014,08014,Broomfield
Colorado,08,Chaffee County,015,08015,Chaffee
Colorado,08,Cheyenne County,017,08017,Cheyenne
Colorado,08,Clear Creek County,019,08019,Clear Creek
Colorado,08,Conejos County,021,08021,Conejos
Colorado,08,Costilla County,023,08023,Costilla
Colorado,08,Crowley County,025,08025,Crowley
Colorado,08,Custer County,027,08027,Custer
Colorado,08,Delta County,029,08029,Delta
Colorado,08,Denver County,031,08031,Denver
Colorado,08,Dolores County,033,08033,Dolores
Colorado,08,Douglas County,035,08035,Douglas
Colorado,08,Eagle County,037,08037,Eagle
Colorado,08,Elbert County,039,08039,Elbert
Colorado,08,El Paso County,041,08041,El Paso
Colorado,08,Fremont County,043,08043,Fremont
Colorado,08,Garfield County,045,08045,Garfield
Colorado,08,Gilpin County,047,08047,Gilpin
Colorado,08,Grand County,049,08049,Grand
Colorado,08,Gunnison County,051,08051,Gunnison
Colorado,08,Hinsdale County,053,08053,Hinsdale
Colorado,08,Huerfano County,055,08055,Huerfano
Colorado,08,Jackson County,057,08057,Jackson
Colorado,08,Jefferson County,059,08059,Jefferson
Colorado,08,Kiowa County,061,08061,Kiowa
Colorado,08,Kit Carson County,063,08063,Kit Carson
Colorado,08,Lake County,065,08065,Lake
Colorado,08,La Plata County,067,08067,La Plata
Colorado,08,Larimer County,069,08069,Larimer
Colorado,08,Las Animas County,071,08071,Las Animas
Colorado,08,Lincoln County,073,08073,Lincoln
