[2025-11-14T23:35:51Z] === PK generation run started at 2025-11-14T23:35:51Z ===
[2025-11-14T23:35:51Z] CSV start: articles.csv with ~74103 rows
[2025-11-14T23:35:51Z] [csv] batch 1 processed 1000 rows
[2025-11-14T23:35:51Z] [csv] batch 2 processed 2000 rows
[2025-11-14T23:35:51Z] [csv] batch 3 processed 3000 rows
[2025-11-14T23:35:51Z] [csv] batch 4 processed 4000 rows
[2025-11-14T23:35:51Z] [csv] batch 5 processed 5000 rows
[2025-11-14T23:35:51Z] [csv] batch 6 processed 6000 rows
[2025-11-14T23:35:51Z] [csv] batch 7 processed 7000 rows
[2025-11-14T23:35:51Z] [csv] batch 8 processed 8000 rows
[2025-11-14T23:35:52Z] [csv] batch 9 processed 9000 rows
[2025-11-14T23:35:52Z] [csv] batch 10 processed 10000 rows
[2025-11-14T23:35:52Z] [csv] batch 11 processed 11000 rows
[2025-11-14T23:35:52Z] [csv] batch 12 processed 12000 rows
[2025-11-14T23:35:52Z] [csv] batch 13 processed 13000 rows
[2025-11-14T23:35:52Z] [csv] batch 14 processed 14000 rows
[2025-11-14T23:35:52Z] [csv] batch 15 processed 15000 rows
[2025-11-14T23:35:52Z] [csv] batch 16 processed 16000 rows
[2025-11-14T23:35:52Z] [csv] batch 17 processed 17000 rows
[2025-11-14T23:35:52Z] [csv] batch 18 processed 18000 rows
[2025-11-14T23:35:52Z] [csv] batch 19 processed 19000 rows
[2025-11-14T23:35:52Z] [csv] batch 20 processed 20000 rows
[2025-11-14T23:35:52Z] [csv] batch 21 processed 21000 rows
[2025-11-14T23:35:52Z] [csv] batch 22 processed 22000 rows
[2025-11-14T23:35:52Z] [csv] batch 23 processed 23000 rows
[2025-11-14T23:35:52Z] [csv] batch 24 processed 24000 rows
[2025-11-14T23:35:52Z] [csv] batch 25 processed 25000 rows
[2025-11-14T23:35:52Z] [csv] batch 26 processed 26000 rows
[2025-11-14T23:35:52Z] [csv] batch 27 processed 27000 rows
[2025-11-14T23:35:52Z] [csv] batch 28 processed 28000 rows
[2025-11-14T23:35:52Z] [csv] batch 29 processed 29000 rows
[2025-11-14T23:35:52Z] [csv] batch 30 processed 30000 rows
[2025-11-14T23:35:52Z] [csv] batch 31 processed 31000 rows
[2025-11-14T23:35:52Z] [csv] batch 32 processed 32000 rows
[2025-11-14T23:35:52Z] [csv] batch 33 processed 33000 rows
[2025-11-14T23:35:52Z] [csv] batch 34 processed 34000 rows
[2025-11-14T23:35:52Z] [csv] batch 35 processed 35000 rows
[2025-11-14T23:35:52Z] [csv] batch 36 processed 36000 rows
[2025-11-14T23:35:52Z] [csv] batch 37 processed 37000 rows
[2025-11-14T23:35:52Z] [csv] batch 38 processed 38000 rows
[2025-11-14T23:35:52Z] [csv] batch 39 processed 39000 rows
[2025-11-14T23:35:52Z] [csv] batch 40 processed 40000 rows
[2025-11-14T23:35:52Z] [csv] batch 41 processed 41000 rows
[2025-11-14T23:35:52Z] [csv] batch 42 processed 42000 rows
[2025-11-14T23:35:52Z] [csv] batch 43 processed 43000 rows
[2025-11-14T23:35:52Z] [csv] batch 44 processed 44000 rows
[2025-11-14T23:35:52Z] [csv] batch 45 processed 45000 rows
[2025-11-14T23:35:52Z] [csv] batch 46 processed 46000 rows
[2025-11-14T23:35:52Z] [csv] batch 47 processed 47000 rows
[2025-11-14T23:35:52Z] [csv] batch 48 processed 48000 rows
[2025-11-14T23:35:52Z] [csv] batch 49 processed 49000 rows
[2025-11-14T23:35:52Z] [csv] batch 50 processed 50000 rows
[2025-11-14T23:35:52Z] [csv] batch 51 processed 51000 rows
[2025-11-14T23:35:52Z] [csv] batch 52 processed 52000 rows
[2025-11-14T23:35:52Z] [csv] batch 53 processed 53000 rows
[2025-11-14T23:35:52Z] [csv] batch 54 processed 54000 rows
[2025-11-14T23:35:52Z] [csv] batch 55 processed 55000 rows
[2025-11-14T23:35:52Z] [csv] batch 56 processed 56000 rows
[2025-11-14T23:35:52Z] [csv] batch 57 processed 57000 rows
[2025-11-14T23:35:52Z] [csv] batch 58 processed 58000 rows
[2025-11-14T23:35:52Z] [csv] batch 59 processed 59000 rows
[2025-11-14T23:35:52Z] [csv] batch 60 processed 60000 rows
[2025-11-14T23:35:52Z] [csv] batch 61 processed 61000 rows
[2025-11-14T23:35:52Z] [csv] batch 62 processed 62000 rows
[2025-11-14T23:35:52Z] [csv] batch 63 processed 63000 rows
[2025-11-14T23:35:52Z] [csv] batch 64 processed 64000 rows
[2025-11-14T23:35:52Z] [csv] batch 65 processed 65000 rows
[2025-11-14T23:35:52Z] [csv] batch 66 processed 66000 rows
[2025-11-14T23:35:52Z] [csv] batch 67 processed 67000 rows
[2025-11-14T23:35:52Z] [csv] batch 68 processed 68000 rows
[2025-11-14T23:35:52Z] [csv] batch 69 processed 69000 rows
[2025-11-14T23:35:52Z] [csv] batch 70 processed 70000 rows
[2025-11-14T23:35:52Z] [csv] batch 71 processed 71000 rows
[2025-11-14T23:35:52Z] [csv] batch 72 processed 72000 rows
[2025-11-14T23:35:52Z] [csv] batch 73 processed 73000 rows
[2025-11-14T23:35:52Z] [csv] batch 74 processed 74000 rows
[2025-11-14T23:35:52Z] [csv] done: wrote 74103 rows to articles_with_id.csv
[2025-11-14T23:35:53Z] NDJSON start: articles.ndjson with ~74103 rows
[2025-11-14T23:35:53Z] [ndjson] batch 1 processed 1000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 2 processed 2000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 3 processed 3000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 4 processed 4000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 5 processed 5000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 6 processed 6000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 7 processed 7000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 8 processed 8000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 9 processed 9000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 10 processed 10000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 11 processed 11000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 12 processed 12000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 13 processed 13000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 14 processed 14000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 15 processed 15000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 16 processed 16000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 17 processed 17000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 18 processed 18000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 19 processed 19000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 20 processed 20000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 21 processed 21000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 22 processed 22000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 23 processed 23000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 24 processed 24000 rows
[2025-11-14T23:35:53Z] [ndjson] batch 25 processed 25000 rows
